,Ticker
1264,TIGO
1265,LOPE
1266,CADE
1267,SOBO
1268,IDCC
1269,GPI
1270,PHI
1271,LANC
1272,KTOS
1273,BRRLY
1274,AXSM
1275,RHP
1276,PJT
1277,MTDR
1278,NVMI
1279,NJR
1280,ZWS
1281,ADMA
1282,ESGR
1283,NUVL
1284,JBTM
1285,CROX
1286,DDS
1287,BBAR
1288,PAM
1289,CSWI
1290,SITE
1291,PECO
1292,GKOS
1293,RHI
1294,REYN
1295,PFSI
1296,NBIS
1297,TGS
1298,TXNM
1299,SPSC
1300,RMBS
1301,BCKIY
1302,ZK
1303,AHR
1304,JHG
1305,WEX
1306,MNSO
1307,GNTX
1308,UBSI
1309,BEPC
1310,SKLTY
1311,LSTR
1312,POR
1313,KRG
1314,CHX
1315,MAT
1316,CMC
1317,KRYS
1318,GLOB
1319,IAG
1320,SMBMY
1321,DAR
1322,FFIN
1323,FMC
1324,MAIN
1325,OGS
1326,FG
1327,CYTK
1328,AL
1329,OS
1330,SKY
1331,ROYMY
1332,ITRI
1333,COLB
1334,VRNS
1335,VLY
1336,NOV
1337,CNX
1338,FSS
1339,VIST
1340,CALM
1341,LYFT
1342,SR
1343,ETSY
1344,AMTM
1345,QTWO
1346,ESI
1347,WTM
1348,MP
1349,KRMN
1350,SNDK
1351,MSGS
1352,CLBT
1353,IONS
1354,JOBY
1355,IRT
1356,CUZ
1357,MTH
1358,NXST
1359,ENIC
1360,CRUS
1361,AMG
1362,OZK
1363,ALKS
1364,GBCI
1365,RDN
1366,OR
1367,TFPM
1368,BTG
1369,VNT
1370,QLYS
1371,IEP
1372,FNB
1373,URBN
1374,PAGP
1375,ERELY
1376,BKH
1377,DY
1378,SBRA
1379,ROAD
1380,IBP
1381,INSP
1382,BOX
1383,DJT
1384,FLG
1385,SON
1386,TKR
1387,WHR
1388,ORA
1389,GTES
1390,WSC
1391,CBZ
1392,ABG
1393,CBT
1394,RUSHA
1395,BIPC
1396,MARA
1397,VVV
1398,NSIT
1399,MSM
1400,STRL
1401,HXL
1402,RRR
1403,MSSMY
1404,BLCO
1405,CE
1406,GEO
1407,MKSI
1408,BILL
1409,AGO
1410,HWC
1411,TDS
1412,EGO
1413,LEA
1414,AROC
1415,AB
1416,BGC
1417,SIM
1418,NOVT
1419,AQN
1420,ELAN
1421,GSHD
1422,EEFT
1423,FIZZ
1424,INTA
1425,EXPO
1426,ITGR
1427,AVAV
1428,PLMR
1429,SANM
1430,BE
1431,MGY
1432,COTY
1433,JWN
1434,CGNX
1435,AVT
1436,VFC
1437,GHC
1438,CDE
1439,FELE
1440,ATGE
1441,PBH
1442,GXO
1443,PIPR
1444,RYN
1445,RELY
1446,HACBY
1447,SLG
1448,COMP
1449,PIII
1450,AMKR
1451,MRP
1452,OMAB
1453,MWA
1454,GRND
1455,SPR
1456,DNB
1457,MOD
1458,CNR
1459,GDS
1460,ESE
1461,GLNG
1462,NNI
1463,TENB
1464,FLO
